
NOTICE: Existing SQLite export found: profiles/nsys/large_ctx128_train_step.sqlite
        It is assumed file was previously exported from: profiles/nsys/large_ctx128_train_step.nsys-rep
        Consider using --force-export=true if needed.

Processing [profiles/nsys/large_ctx128_train_step.sqlite] with [/cm/shared/apps/cuda12.6/toolkit/12.6/nsight-systems-2024.4.2/host-linux-x64/reports/nvtx_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
28.9,4930741086,10,493074108.6,492492948.0,489243715,497550126,3332928.0,PushPop,:measured_step
19.5,3320971920,15,221398128.0,212831523.0,212388819,340285753,32891375.9,PushPop,:backward
18.8,3208010839,5,641602167.8,496854390.0,495497765,1220233359,323467246.2,PushPop,:warmup_step
15.5,2642739109,15,176182607.3,145859180.0,139863411,621357983,123192803.7,PushPop,:forward
12.5,2122990041,15,141532669.4,134543150.0,134187652,239447763,27087818.9,PushPop,:optimizer_step
2.3,389959897,540,722148.0,624365.0,596561,44727889,1897964.8,PushPop,:scaled dot product attention
1.0,164933196,540,305431.8,249796.5,238024,25243473,1075496.8,PushPop,:computing attention scores
0.7,121915546,540,225769.5,179792.5,174788,18702789,797330.5,PushPop,:computing softmax
0.5,87232699,540,161542.0,154839.0,150649,666884,24619.5,PushPop,:final matmul
0.2,31686515,15,2112434.3,2086633.0,1386298,2477963,246818.2,PushPop,:step_start
0.1,19409080,15,1293938.7,127674.0,109195,17646554,4523846.4,PushPop,:loss

