
NOTICE: Existing SQLite export found: profiles/nsys/medium_ctx256_train_step.sqlite
        It is assumed file was previously exported from: profiles/nsys/medium_ctx256_train_step.nsys-rep
        Consider using --force-export=true if needed.

Processing [profiles/nsys/medium_ctx256_train_step.sqlite] with [/cm/shared/apps/cuda12.6/toolkit/12.6/nsight-systems-2024.4.2/host-linux-x64/reports/nvtx_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
28.3,3423242505,10,342324250.5,340648158.5,339729535,349058742,3243227.6,PushPop,:measured_step
24.2,2921145810,15,194743054.0,186670759.0,186124677,307935240,31314448.8,PushPop,:backward
19.5,2353196810,5,470639362.0,343422285.0,339662603,979640732,284575995.7,PushPop,:warmup_step
15.6,1879285229,15,125285681.9,93358225.0,92842986,544580286,116043450.0,PushPop,:forward
7.8,936128964,15,62408597.6,59112644.0,58762835,109794731,13110845.0,PushPop,:optimizer_step
2.2,268206098,360,745016.9,590073.5,574621,40185913,2088302.4,PushPop,:scaled dot product attention
1.0,114996110,360,319433.6,235994.0,230440,23075999,1204075.6,PushPop,:computing attention scores
0.7,86738726,360,240940.9,173060.5,168251,16433353,858465.2,PushPop,:computing softmax
0.5,56514542,360,156984.8,150680.0,147077,597213,27200.6,PushPop,:final matmul
0.2,20995919,15,1399727.9,1353771.0,1118010,1535815,117379.1,PushPop,:step_start
0.1,17933195,15,1195546.3,117077.0,94169,16115326,4127764.5,PushPop,:loss

