
NOTICE: Existing SQLite export found: profiles/nsys/small_ctx1024_train_step.sqlite
        It is assumed file was previously exported from: profiles/nsys/small_ctx1024_train_step.nsys-rep
        Consider using --force-export=true if needed.

Processing [profiles/nsys/small_ctx1024_train_step.sqlite] with [/cm/shared/apps/cuda12.6/toolkit/12.6/nsight-systems-2024.4.2/host-linux-x64/reports/nvtx_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
30.0,4962757979,10,496275797.9,496248722.5,495896216,496852151,334396.9,PushPop,:measured_step
29.5,4892046059,15,326136403.9,318510721.0,318015455,433092128,29589821.7,PushPop,:backward
18.8,3115071079,5,623014215.8,495875721.0,495571255,1131095680,284026550.5,PushPop,:warmup_step
17.0,2816193538,15,187746235.9,156953848.0,156381959,619970803,119571475.2,PushPop,:forward
2.0,327387612,15,21825840.8,19184093.0,19034064,58720562,10207520.9,PushPop,:optimizer_step
1.2,204657718,180,1136987.3,672464.0,588277,47458891,3559307.7,PushPop,:scaled dot product attention
0.6,92037027,180,511316.8,270517.0,235449,26312162,1971851.6,PushPop,:computing attention scores
0.5,75401094,180,418895.0,202141.5,168662,20344520,1546079.5,PushPop,:computing softmax
0.2,31499207,180,174995.6,168875.0,151049,686507,41423.7,PushPop,:final matmul
0.1,22881401,15,1525426.7,253168.0,229941,18361940,4662137.8,PushPop,:loss
0.1,16962935,15,1130862.3,1163095.0,760564,1237808,118459.1,PushPop,:step_start

